"";"municip";"date";"active";"new_cases";"new_deceased";"incidence_14d";"cod_ine";"nombre_mun";"semaforo"
"1";"39001 - ALFOZ DE LLOREDO";2020-02-29;0;NA;NA;NA;39001;"Alfoz de Lloredo";"0"
"2";"39001 - ALFOZ DE LLOREDO";2020-03-01;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"3";"39001 - ALFOZ DE LLOREDO";2020-03-02;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"4";"39001 - ALFOZ DE LLOREDO";2020-03-03;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"5";"39001 - ALFOZ DE LLOREDO";2020-03-04;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"6";"39001 - ALFOZ DE LLOREDO";2020-03-05;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"7";"39001 - ALFOZ DE LLOREDO";2020-03-06;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"8";"39001 - ALFOZ DE LLOREDO";2020-03-07;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"9";"39001 - ALFOZ DE LLOREDO";2020-03-08;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"10";"39001 - ALFOZ DE LLOREDO";2020-03-09;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"11";"39001 - ALFOZ DE LLOREDO";2020-03-10;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"12";"39001 - ALFOZ DE LLOREDO";2020-03-11;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"13";"39001 - ALFOZ DE LLOREDO";2020-03-12;0;0;0;NA;39001;"Alfoz de Lloredo";"0"
"14";"39001 - ALFOZ DE LLOREDO";2020-03-13;0;0;0;0;39001;"Alfoz de Lloredo";"Nueva normalidad"
"15";"39001 - ALFOZ DE LLOREDO";2020-03-14;0;0;0;0;39001;"Alfoz de Lloredo";"Nueva normalidad"
"16";"39001 - ALFOZ DE LLOREDO";2020-03-15;0;0;0;0;39001;"Alfoz de Lloredo";"Nueva normalidad"
"17";"39001 - ALFOZ DE LLOREDO";2020-03-16;0;0;0;0;39001;"Alfoz de Lloredo";"Nueva normalidad"
"18";"39001 - ALFOZ DE LLOREDO";2020-03-17;0;0;0;0;39001;"Alfoz de Lloredo";"Nueva normalidad"
"19";"39001 - ALFOZ DE LLOREDO";2020-03-18;1;1;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"20";"39001 - ALFOZ DE LLOREDO";2020-03-19;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"21";"39001 - ALFOZ DE LLOREDO";2020-03-20;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"22";"39001 - ALFOZ DE LLOREDO";2020-03-21;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"23";"39001 - ALFOZ DE LLOREDO";2020-03-22;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"24";"39001 - ALFOZ DE LLOREDO";2020-03-23;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"25";"39001 - ALFOZ DE LLOREDO";2020-03-24;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"26";"39001 - ALFOZ DE LLOREDO";2020-03-25;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"27";"39001 - ALFOZ DE LLOREDO";2020-03-26;1;0;0;41,39;39001;"Alfoz de Lloredo";"Bajo"
"28";"39001 - ALFOZ DE LLOREDO";2020-03-27;3;2;0;124,17;39001;"Alfoz de Lloredo";"Medio"
"29";"39001 - ALFOZ DE LLOREDO";2020-03-28;3;0;0;124,17;39001;"Alfoz de Lloredo";"Medio"
